**** BEGIN LOGGING AT Thu May 26 20:35:57 2011

May 26 20:35:57 *	Now talking on ##monitoringsucks
May 26 21:22:40 <whack>	kallistec: plus writing plugins for munin is considerably more awkward than for graphitem, collectd, and ganglia
May 26 21:22:41 <lusis>	one thing I like about collectd is the write plugins
May 26 21:22:49 <vvuksan>	whack: you should just query the trending system
May 26 21:22:50 <whack>	vvuksan: a what?
May 26 21:22:56 <lusis>	especially write_http
May 26 21:22:59 <kallistec>	having a centralized polling daemon can't possibly scale
May 26 21:23:05 <whack>	vvuksan: in my world there are two kinds of checks - metrics and tests.
May 26 21:23:06 <portertech>	I don't care about an admin UI, would like an RESTful API and a simple config file format (perhaps yml or raw json even) that I can happily handle w/ CM, need it to talk nagios (migration simplicity), need to be able to distribute
May 26 21:23:11 <lusis>	kallistec, I agree I used to think it would
May 26 21:23:19 <whack>	tests are just like unit tests done at build-time
May 26 21:23:20 <lusis>	but as portertech says
May 26 21:23:21 <lusis>	with CM
May 26 21:23:23 <whack>	they have useful output, stack traces, etc
May 26 21:23:26 <lusis>	it's pointless to need that now
May 26 21:23:30 <ickymettle>	kallistec: we had nagios instances running in each DC but feeding passive check results back to a central aggregator
May 26 21:23:30 <joemiller>	i think there are a lot of decent tools for metrics, i actually find lacking in the 'tests' category
May 26 21:23:33 <whack>	metrics like "How many qps are we doing?" just get numbers.
May 26 21:23:41 <vvuksan>	yep
May 26 21:23:48 <whack>	like having a complex selenium web test simply output "OK"
May 26 21:23:50 <whack>	is not useful.
May 26 21:23:58 <whack>	what failed? when? what was the error message?
May 26 21:24:05 <whack>	"CRITICAL" is not useful for debugging that.
May 26 21:24:07 <vvuksan>	but why would you want Nagios to record it ?
May 26 21:24:09 <lusis>	I think the problem I have is that all the existing "packages" expect to be the system of record
May 26 21:24:16 <vvuksan>	wouldn't you record it elsewhere ?
May 26 21:24:19 <lusis>	and that doesn't fit my world view
May 26 21:24:29 <whack>	vvuksan: because nagios already has that feature and that's the monitoring system I use currently.
May 26 21:24:39 <vvuksan>	fair enough
May 26 21:24:45 <whack>	y'all ever use hudson/jenkins, and it's unit-test parsing stuff?
May 26 21:24:53 <joemiller>	would like to be able to get some re-use out of QA tests
May 26 21:24:55 <lusis>	whack, working on it a bit now
May 26 21:24:57 <whack>	have a JUnit test fail, and it shows you where in the suite it failed, the stack trace, and output, etc, all quite nicely
May 26 21:25:00 <lusis>	joemiller, good point
May 26 21:25:27 <kallistec>	yeah, I dunno how practical that is
May 26 21:25:28 <lusis>	joemiller, that has the benefit of getting useful monitors in the system up front
May 26 21:25:44 <kallistec>	i.e., our tests expect to be able to nuke the database
May 26 21:25:51 <joemiller>	heh
May 26 21:25:52 <lusis>	kallistec, chaos monkey monitoring
May 26 21:25:52 <lusis>	;)
May 26 21:25:56 <kallistec>	not gonna run it in prod
May 26 21:26:05 <joemiller>	good point
May 26 21:26:11 <kallistec>	I mean, I'm confident I can restore from backups
May 26 21:26:25 <joemiller>	but you don't need to restore from backups every 5 minutes? 
May 26 21:26:29 <kallistec>	and I'm also confident it would piss ppl off if I did it every day
May 26 21:26:32 <lusis>	kallistec, don't you have a subset though that are performance related that don't expect to purge?
May 26 21:26:52 <lusis>	or could easily be adapted with minimal effort?
May 26 21:26:52 <joemiller>	continuous benchmarking/loadtesting.
May 26 21:26:57 <kallistec>	no, it's built in to the test framework
May 26 21:27:05 <kallistec>	we did adapt some
May 26 21:27:05 <lusis>	kallistec, ahh okay
May 26 21:27:24 <kallistec>	and it took sooo long that it's really not gonna happen on a regular basis
May 26 21:27:29 <lusis>	k
May 26 21:28:01 <lusis>	so it's clear that no single tool fits the bill anymore?
May 26 21:28:04 <kallistec>	there were some talks at railsconf last year about running cukes agains prod
May 26 21:28:05 <lusis>	just not realistic
May 26 21:28:06 <joemiller>	i wish a monitoring system would configure itself for me. guess my intent
May 26 21:28:17 <kallistec>	and I was like, "tried it, didn't like it"
May 26 21:28:22 <lusis>	heh
May 26 21:28:29 <vvuksan>	lusis: correct. There is no one tool
May 26 21:28:42 <ickymettle>	one feature i'd love to see is some sort of adaptive thresholding
May 26 21:28:43 <lusis>	vvuksan, okay cool. Got that out of the way
May 26 21:28:48 <kallistec>	anyway, I've been hacking on and off on some stuff for configuration monitoring
May 26 21:28:54 <joemiller>	so you got multiple tools, you start to get complexity in configuring them all and keeping them in sync
May 26 21:28:57 <joemiller>	perhaps noah helps with that
May 26 21:28:58 <kallistec>	er, integration monitoring
May 26 21:29:01 <ickymettle>	some means of kinda having somethign in "listen" mode for a say week
May 26 21:29:07 <kallistec>	only a client tho
May 26 21:29:13 <lusis>	kallistec, you have a repo public right?
May 26 21:29:17 <ickymettle>	it determines what the metric "normal" looks like
May 26 21:29:17 <kallistec>	yeah
May 26 21:29:17 <lusis>	I think you linked it?
May 26 21:29:31 <lusis>	ickymettle, oh I like that
May 26 21:29:34 <ickymettle>	then can alert of anomaly
May 26 21:29:36 <kallistec>	https://github.com/danielsdeleo/critical
May 26 21:29:44 <lusis>	isn't that the rocksteady approach though?
May 26 21:29:55 <lusis>	learning system?
May 26 21:29:55 <ickymettle>	I think that was their vibe
May 26 21:30:03 <vvuksan>	you could do holt-winters stuff but that's iffy
May 26 21:30:10 <ickymettle>	I know hyperic was touting that as well
May 26 21:30:15 <lusis>	hyperic
May 26 21:30:20 <kallistec>	I had to "pivot" to making it a metric collector for a bit just to run it in a useful context for a whil
May 26 21:30:20 <vvuksan>	you can turn it on in RRDs
May 26 21:30:21 *	lusis throws up a little in his mouth
May 26 21:30:29 <ickymettle>	vvuksan: funny you should mention, we're looking at implementing holt-winters in graphite at the moment
May 26 21:30:39 <lusis>	kallistec, got it bookmarked now ;)
May 26 21:30:42 <vvuksan>	i have an implementation that adds it in Ganglia
May 26 21:30:50 <ickymettle>	oh nice
May 26 21:30:52 <lusis>	kallistec, I'm going to be doing up some notes
May 26 21:30:54 <portertech>	has anyone used flapjack in any sort of env? w/ its current state?
May 26 21:30:55 <vvuksan>	but it needs work
May 26 21:31:08 <lusis>	lindsay said flapjack was kind of stalled right now
May 26 21:31:10 <lusis>	I think
May 26 21:31:13 <kallistec>	lusis: anyway, the long term plan is to flesh out story monitoring etc
May 26 21:31:25 <portertech>	lusis: I'd like to pick it up
May 26 21:31:25 <vvuksan>	yeah I haven't seen any activity on flapjack for quite a while
May 26 21:31:29 <jdixon>	ickymettle: scoutapp does some sort of that
May 26 21:31:30 <portertech>	I did the arch
May 26 21:31:30 <kallistec>	maybe make a passive check bridge to nagios
May 26 21:31:38 <portertech>	I hate NSCA
May 26 21:31:42 <ickymettle>	basically when we put historical averages into graphite that showed us the value of looking at current vs historical in trending data
May 26 21:31:47 <kallistec>	so I can iterate on something
May 26 21:31:50 <lusis>	portertech, +1000 on ncsa
May 26 21:31:59 <lusis>	I like check_mk in Nagios land
May 26 21:32:06 <lusis>	but it's not CM-configurable friendly
May 26 21:32:14 <vvuksan>	am I the only one that doesn't use NCSA :-)
May 26 21:32:24 <lusis>	portertech, oh wait
May 26 21:32:27 <lusis>	I was thinking nrpe ;)
May 26 21:32:38 <vvuksan>	or nrpe whatever
May 26 21:32:40 <vvuksan>	:-)
May 26 21:32:43 <lusis>	but check_mk doesn't use ncsa either
May 26 21:33:05 <portertech>	We've several stacks, each w/ their own headless nagios, having to batch nsca to central
May 26 21:33:05 <joemiller>	any thoughts on the saas/hosted monitoring options?  new relic, cloudkick, etc
May 26 21:33:07 <lusis>	kallistec, why nagios? Just because it's the gorilla in the room?
May 26 21:33:12 <ickymettle>	I just had flashbacks to NSCA telnet over serial 
May 26 21:33:16 <portertech>	the result is unpleasant
May 26 21:33:24 <kallistec>	lusis: just cuz we use it right now
May 26 21:33:30 <lusis>	kallistec, ahh okay
May 26 21:33:33 <ickymettle>	new relic is frighteningly good
May 26 21:33:39 <ickymettle>	however
May 26 21:33:40 <joemiller>	pricey
May 26 21:33:42 <lusis>	yep
May 26 21:33:44 <kallistec>	so I can run it in preprod at least
May 26 21:33:45 <lusis>	$$$$$
May 26 21:33:45 <ickymettle>	1) expensve
May 26 21:33:48 *	mconigliaro (~anonymous@206.205.72.162) has joined ##monitoringsucks
May 26 21:33:53 <portertech>	joemiller: saas/hosted works for me when the env is small, but they aren't as flexible or extensible as i'd like
May 26 21:33:55 <ickymettle>	2) not very extensible (you can but it's not pretty)
May 26 21:34:04 <ickymettle>	the reporting is awesome
May 26 21:34:08 <ickymettle>	it's hopeless for alerting
May 26 21:34:13 <portertech>	ickymettle: agreed, its gets damn expensive 
May 26 21:34:21 >mconigliaro<	just jump right in. People are brainstorming random shit. I'm just logging and taking notes
May 26 21:34:45 <ickymettle>	they've thankfully done a lot of work on their backend collectors so it's more stable now
May 26 21:34:47 <lusis>	does anyone find nagios' flapping useful?
May 26 21:34:53 <lusis>	I happen to like it
May 26 21:35:01 <kallistec>	half the time it fucks us
May 26 21:35:04 <ickymettle>	but could regurlarly bring out collectors down
May 26 21:35:09 <ickymettle>	at that point you're blind
May 26 21:35:17 <jdixon>	lusis: flapping is terrible
May 26 21:35:19 <ickymettle>	also very hard ot pull the data out for other purposes
May 26 21:35:20 <lusis>	really?
May 26 21:35:21 <lusis>	hrmm
May 26 21:35:36 <kallistec>	the flap detection will kick in, the service will recover, but it won't cancel the alarm in pgrduty
May 26 21:35:36 <whack>	lusis: flapping detection should alert, not silence
May 26 21:35:37 <jdixon>	oh let's see "my service is in a crappy state, please don't tell me about it"
May 26 21:35:45 <jdixon>	that makes no fucking sense
May 26 21:35:46 <whack>	at google any "flapping" services triggered alerts
May 26 21:35:50 <whack>	+1
May 26 21:35:59 <portertech>	+1
May 26 21:36:03 <lusis>	heh
May 26 21:36:05 <whack>	flapping is megabad
May 26 21:36:05 <jdixon>	it enables laziness
May 26 21:36:11 <ickymettle>	I can totally see the value in flap detection but it needs to be easier to configure
May 26 21:36:16 <lusis>	ickymettle, whew
May 26 21:36:19 <lusis>	thought I was alone
May 26 21:36:28 <jdixon>	the "value" in flapping is in being empowered to ignore alerts
May 26 21:36:32 <lusis>	I totally get what everyone is saying
May 26 21:36:32 <whack>	yeah
May 26 21:36:34 <lusis>	but 
May 26 21:36:36 <jdixon>	if you see that as value I don't want you watching my stuff ;)
May 26 21:36:42 <whack>	flapping should trigger "this is flapping" alerts
May 26 21:36:44 <joemiller>	haha
May 26 21:36:44 <ickymettle>	in most instances I just disable it because badly configured flap detection is way worse than no flap detection
May 26 21:36:54 <whack>	if you want to silence it, there should be a "I know this is flapping, hush for a while" action
May 26 21:37:05 <lusis>	whack, gotcha
May 26 21:37:13 <jdixon>	if the flapping is caused by latency issues, use decentralized nagios checks
May 26 21:37:18 <kallistec>	yeah, the value is in stfu-ing so you don't get a barrage
May 26 21:37:20 <jdixon>	er, distributed
May 26 21:37:20 <whack>	which you can do in nagios (schedule downtime, or whatnot)
May 26 21:37:32 <lusis>	whack, via command file =/
May 26 21:37:34 <whack>	kallistec: nod, and STFU should be a human action
May 26 21:37:38 <whack>	lusis: so? :(
May 26 21:37:41 <lusis>	heh
May 26 21:37:43 <whack>	I do it via the web interface
May 26 21:37:48 <whack>	I mean, it sucks, granted
May 26 21:37:51 <lusis>	I think I'd be happier with Nagios if it had a real api
May 26 21:37:55 <whack>	"silence this for 2 hours" should be a simple action
May 26 21:38:00 <lusis>	whack, agreed
May 26 21:38:03 <portertech>	talk to nagios from emacs :P
May 26 21:38:05 <vvuksan>	i have a script that does that
May 26 21:38:06 <joemiller>	isn't incinga trying to make a nagios api?
May 26 21:38:14 <joemiller>	icinga, whatever it is
May 26 21:38:20 <vvuksan>	specify a regex and it silences everything in sight
May 26 21:38:22 <lusis>	joemiller, I point you to history
May 26 21:38:26 <lusis>	joemiller, groundwork
May 26 21:38:28 <lusis>	=/
May 26 21:38:42 <whack>	joemiller: nod
May 26 21:38:45 <geekle_>	All downtiming and undowntiming a group of hosts/services should be easier.
May 26 21:38:48 <geekle_>	Nagios blows for that.
May 26 21:38:50 <whack>	ultimately, though, I think nagios has a crappy foundation
May 26 21:38:50 <kallistec>	whack: yeah, the display of alert history needs to be more intelligent also
May 26 21:38:59 <lusis>	geekle_, if you group properly it's not so bad
May 26 21:38:59 <whack>	everything is a host, services are not services, they're "checks" or "tests"
May 26 21:39:02 <lusis>	geekle_, and add deps
May 26 21:39:06 <lusis>	but yeah
May 26 21:39:17 <geekle_>	Yeah :) Provided they are grouped and have deps :P
May 26 21:39:19 <whack>	host obsession is really lame
May 26 21:39:23 <ickymettle>	I would love an API for nagios so bad - ack alerts, submit comments, schedule downtime, disable notifications etc ...
May 26 21:39:31 <whack>	especially since most of my tests are "frontend needs to talk to backend" which is really two hosts
May 26 21:39:37 <lusis>	whack, I think the thing that always brings me back to nagios
May 26 21:39:42 <lusis>	is that plugins are so f'ing easy
May 26 21:39:48 <lusis>	I'm not locked into anything 
May 26 21:39:50 <whack>	lusis: flapjack supports nagios plugins, iirc
May 26 21:39:54 <joemiller>	so maybe the problem with most is the model they start from.  building a monitoring system today, what would be the best way to build the model
May 26 21:39:56 <lusis>	whack, hmmm
May 26 21:40:00 <whack>	I like NRPE, slightly.
May 26 21:40:04 <lusis>	heh
May 26 21:40:05 <jdixon>	ickymettle: nagios is still the least crappy of all crappy fault detection systems
May 26 21:40:05 <whack>	NCSA is stupid, but useful
May 26 21:40:08 <jdixon>	that doesn't make it good
May 26 21:40:11 <whack>	nod
May 26 21:40:19 <ickymettle>	jdixon: I absolutely agree
May 26 21:40:21 <whack>	I think if folks wrote prod tests more like unit tests it'd be easier
May 26 21:40:26 <joemiller>	i think flapjack would be almost perfect if it had some kind of dashboard tha showed me what was up/down.  i don't think it does that, no?  just kicks off alerts when state changes
May 26 21:40:29 <jdixon>	and yet, 10(?) years later, it's the "best" we have
May 26 21:40:31 <ickymettle>	one thing that is patently clear is despite nagios' faults it actually works
May 26 21:40:40 <whack>	ickymettle: yeah
May 26 21:40:46 <lusis>	brb
May 26 21:40:47 <jdixon>	it _mostly_ works
May 26 21:40:48 <whack>	I think most other monitoring efforts are just failtown 
May 26 21:40:57 <whack>	they don't take what works in existing systems and innovate elsewhere
May 26 21:41:02 <portertech>	I'm going to give flapjack a go, perhaps pick it up back on its feet and get it rolling, continue to use previously create nagios checks w/ cuke/webrat etc
May 26 21:41:13 <ickymettle>	actually I should reword that ... no one has managed to build a system that delivers the same flexibility and function 
May 26 21:41:33 <jdixon>	in an ideal world you'd trend metrics and pick a threshold on a graph
May 26 21:41:46 <jdixon>	anything that exceeds (or invert) that threshold would fire off an event
May 26 21:41:54 <jdixon>	there's your monitoring system.
May 26 21:42:01 <joemiller>	it's interesting to see the explosion in new tools for managing infrastructure as code, but monitoring/fault detection is still using the equivalent of a 10000 line bash script
May 26 21:42:01 <portertech>	in an ideal world, that threshold can be determined for you :)
May 26 21:42:06 <whack>	jdixon: not all alerts are trend-based
May 26 21:42:06 <vvuksan>	jdixon: picking a threshold is easy
May 26 21:42:08 <joemiller>	from 10 yrs ago
May 26 21:42:11 <ickymettle>	jdixon: that's what I was heading towards with a system that can "learn" what normal is and alert on anomaly
May 26 21:42:11 <joemiller>	15 yrs ago
May 26 21:42:14 <vvuksan>	the engine behind it is hard
May 26 21:42:17 <jdixon>	reconnoiter is actually pretty close, but none of the fault detection stuff is built in
May 26 21:42:27 <whack>	jdixon: and nobody uses reconnoiter because it requires postgres ;)
May 26 21:42:31 <jdixon>	whack: I didn't say that alerts are trend-based
May 26 21:42:33 <ickymettle>	hahaha
May 26 21:42:48 <whack>	18:40 < jdixon> in an ideal world you'd trend metrics and pick a threshold on a graph
May 26 21:42:49 <jdixon>	they're metric based
May 26 21:42:54 <whack>	^ what I was responding to
May 26 21:42:59 <jdixon>	yes, I know
May 26 21:43:11 <mconigliaro>	ok, i sorta know what i want, but i cant quite wrap my head around how to implement it. i want something like chef, in the sense that i want to be able to describe monitoring for my environment in pure code.
May 26 21:43:15 <whack>	and what I'm saying is that for boolean metrics, you need more details for debugging
May 26 21:43:16 <jdixon>	whack: yeah, reconnoiter is an engineering marvel of complexity
May 26 21:43:25 <whack>	"frontend tests fail" is boolean
May 26 21:43:29 <joemiller>	mcong: agreed
May 26 21:43:30 <whack>	where did it fail?
May 26 21:43:33 <mconigliaro>	im curious if anyone else feels the same way i do
May 26 21:43:38 <joemiller>	yes
May 26 21:43:42 <ickymettle>	yeah you could almost build out a taxonomy of monitoring types
May 26 21:43:43 <kallistec>	mconigliaro: yeah, if you missed it
May 26 21:43:48 <kallistec>	https://github.com/danielsdeleo/critical
May 26 21:43:53 <kallistec>	scroll to the example
